Assembly	Number_contigs	Total_length	GC	core	nad	rps3	Order
Candida__ponderosae__35261	1	20909	30.89	1	0	0	Phaffomycetales
Candida__pyralidae__35011	1	47002	28.51	1	1	0	Serinales
Candida__restingae__34648	1	32418	30.16	1	1	0	Serinales
Candida__rhagii__35679	1	23596	23.88	1	1	0	Serinales
Candida__schatavii__34643	1	42845	20.66	1	1	0	Serinales
Candida__sorboxylosa__37882	15	39753	21.61	0.857142857	1	1	Pichiales
Candida__stellimalicola__34597	1	19808	29.92	1	0	0	Phaffomycetales
Candida__succiphila__34906	1	39405	16.73	0.857142857	1	0	Pichiales
Candida__tammaniensis__41833	1	25800	25.75	1	1	0	Serinales
Candida__tanzawaensis__35010	1	25031	26.57	1	1	0	Serinales
Candida__tenuis__41836	1	26498	21.4	1	1	0	Serinales
Candida__versatilis__38361	1	33736	18.56	1	1	1	Dipodascales
Candida__wancherniae__41840	1	24433	21.27	1	1	0	Serinales
Cephaloascus__albidus__34998	1	31165	21.31	1	1	0	Serinales
Citeromyces__matritensis__26142	2	60697	29.09	0.714285714	1	1	Pichiales
Citeromyces__siamensis__34952	1	62370	25.82	1	1	1	Pichiales
Clavispora.lusitaniae.KC993186	1	24896	26.84	1	1	0	Serinales
Cyberlindnera.jadinii.KC993189	1	41644	18.66	1	1	1	Phaffomycetales
Cyberlindnera__americana__35703	1	27452	19.03	1	1	1	Phaffomycetales
Cyberlindnera__fabianii__35701	1	51539	18.45	1	1	1	Phaffomycetales
Cyberlindnera__maclurae__35699	1	44512	16.87	1	1	1	Phaffomycetales
Cyberlindnera__misumaiensis__34979	1	41808	18.86	1	1	1	Phaffomycetales
Cyberlindnera__mrakii__34978	3	57853	21.13	0.857142857	1	1	Phaffomycetales
Cyberlindnera__petersonii__35325	1	41659	17.65	1	0	1	Phaffomycetales
Cyberlindnera__saturnus__35686	3	49761	22.23	1	1	1	Phaffomycetales
Cyberlindnera__suaveolens__35687	1	49704	21.04	0.857142857	1	1	Phaffomycetales
Cyberlindnera__xylosilytica__35688	1	41970	19.52	1	1	1	Phaffomycetales
Danielozyma__ontarioensis__34973	1	37126	21.48	0.857142857	1	0	Serinales
Deakozyma__indianensis__34974	1	22610	29.23	1	1	1	Dipodascales
Debaryomyces.hansenii.NC_010166	1	29462	27.01	1	1	0	Serinales
Debaryomyces__fabryi__41829	1	32261	26.71	1	0.857142857	0	Serinales
Debaryomyces__maramus__41713	1	26130	27.68	1	1	0	Serinales
Debaryomyces__nepalensis__41693	1	24197	27.31	1	1	0	Serinales
Debaryomyces__prosopidis__41678	1	33052	26.55	1	1	0	Serinales
Debaryomyces__subglobosus__41824	1	35913	25.91	1	1	0	Serinales
Diddensiella__caesifluorescens__34660	1	40420	18.95	1	1	1	Dipodascales
Dipodascus__albidus__34661	1	58413	18.41	0.857142857	0.857142857	1	Dipodascales
Dipodascus__geniculatus__41822	1	79898	21.29	1	1	1	Dipodascales
Eremothecium.gossypii.AE016821	1	23564	18.81	0.857142857	0	1	Saccharomycetales
Eremothecium.sinecaudum.CP014249	1	26238	20.04	0.857142857	0	1	Saccharomycetales
Geotrichum.candidum.HG530139	1	29008	27.64	1	0.857142857	1	Dipodascales
Groenewaldozyma.salmanticensis.HQ267969	1	27812	20.24	1	1	1	Dipodascales
Hanseniaspora.uvarum.DQ058142	1	18844	29.32	1	0	0	Saccharomycodales
Hanseniaspora__clermontiae__34963	1	17503	29.31	1	0	0	Saccharomycodales
Hanseniaspora__osmophila__34957	1	27769	19.48	1	0	1	Saccharomycodales
Hanseniaspora__pseudoguilliermondii__35695	1	11080	31.09	0.857142857	0	0	Saccharomycodales
Hanseniaspora__singularis__35696	1	18233	24.41	0.857142857	0	0	Saccharomycodales
Hanseniaspora__vinae	6	25069	20.02	1	0	1	Saccharomycodales
Hyphopichia__burtonii__35682	1	26181	24.98	1	1	0	Serinales
Hyphopichia__heimii__35318	1	22871	24.63	1	1	0	Serinales
Kazachstania.servazzii.AJ430679	1	30782	22.48	1	0	1	Saccharomycetales
Kazachstania.sinensis.MG674287	1	38566	23.62	1	0	1	Saccharomycetales
Kazachstania.unispora.KU920680	1	29129	24.22	1	0	1	Saccharomycetales
Kazachstania__aerobia__yHAB164	12	40680	18.98	0.857142857	0	1	Saccharomycetales
Kazachstania__africana__yHAB137	1	45861	23.18	0.857142857	0	1	Saccharomycetales
Kazachstania__bromeliacearum__yHAB136	5	32866	23.06	0.714285714	0	1	Saccharomycetales
Kazachstania__intestinalis__yHAB148	1	20834	21.47	1	0	0	Saccharomycetales
Kazachstania__kunashirensis__yHAB160	5	48818	13.78	0.714285714	0	1	Saccharomycetales
Kazachstania__martiniae__yHAB132	1	46485	10.52	1	0	1	Saccharomycetales
Kazachstania__naganishii__yHAB139	1	46216	23.09	1	0	1	Saccharomycetales
Kazachstania__siamensis__yHAB143	7	47365	23.75	0.857142857	0	0	Saccharomycetales
Kazachstania__solicola__yHAB159	1	31230	22.63	0.857142857	0	1	Saccharomycetales
Kazachstania__spencerorum__yHAB155	7	26855	21.44	0.857142857	0	1	Saccharomycetales
Kazachstania__turicensis__yHAB134	1	19637	22.56	1	0	1	Saccharomycetales
Kazachstania__yakushimaensis__yHAB166	1	49874	24.34	1	0	0	Saccharomycetales
Kloeckera__hatyaiensis__35684	1	12153	30.75	1	0	0	Saccharomycodales
Kluyveromyces.lactis.NC_006077	1	40291	26.14	1	0	1	Saccharomycetales
Kluyveromyces__aestuarii__34709	1	70179	11.48	0.857142857	0	1	Saccharomycetales
Kluyveromyces__dobzhanskii__34710	1	65982	18.93	1	0	1	Saccharomycetales
Kluyveromyces__marxianus__34713	1	44712	17.03	0.857142857	0	1	Saccharomycetales
Kodamaea__laetipori__34665	1	34530	27.26	1	1	0	Serinales
Kodamaea__ohmeri__35677	1	30389	26.88	1	1	0	Serinales
Komagataella.phaffii.FR839632	1	35683	22.02	1	0.857142857	1	Pichiales
Komagataella__populi__26274	1	36604	21.36	0.857142857	1	1	Pichiales
Komagataella__pseudopastoris__34939	1	37810	21.7	0.857142857	1	1	Pichiales
Kregervanrija__delftensis__35674	1	62127	22.23	0.857142857	1	0	Pichiales
Kregervanrija__fluxuum__35675	1	84782	22.47	0.857142857	1	1	Pichiales
Kuraishia__capsulata__34937	1	29344	20.88	1	1	0	Pichiales
Kuraishia__molischiana__34933	1	30619	20.07	1	1	0	Pichiales
Kuraishia__ogatae__34932	1	37536	19.49	0.857142857	1	1	Pichiales
Kurtzmaniella__cleridarum__35667	1	50504	20.26	1	1	0	Serinales
Lachancea.dasiensis.HE983611	1	26326	21.3	1	0	1	Saccharomycetales
Lachancea.kluyveri.HE664112	1	53726	17.33	1	0	1	Saccharomycetales
Lachancea.meyersii.HE983614	1	35864	22.05	1	0	1	Saccharomycetales
Lachancea.nothofagi.HE983612	1	24077	23.68	1	0	1	Saccharomycetales
Lachancea.thermotolerans.AJ634268	1	23584	24.88	1	0	1	Saccharomycetales
Lachancea__cidri__34698	1	22802	19.99	1	0	1	Saccharomycetales
Lachancea__fermentati__34695	2	30464	24.85	1	0	1	Saccharomycetales
Lachancea__lanzarotensis__34693	2	31209	26.83	1	0	1	Saccharomycetales
Lachancea__mirantina__34691	1	30230	19.8	1	0	1	Saccharomycetales
Lachancea__waltii__26219	1	30316	21.3	1	0	1	Saccharomycetales
Lipomyces__arxii__34754	1	48462	23.58	1	1	0	Lipomycetales
Lipomyces__doorenjongii__34757	1	60471	17.95	0.857142857	1	0	Lipomycetales
Lipomyces__japonicus__34758	1	37531	29.65	1	1	0	Lipomycetales
Lipomyces__kononenkoae__34760	1	31636	24.41	1	1	0	Lipomycetales
Lipomyces__lipofer__34761	1	46199	24.87	1	1	0	Lipomycetales
Lipomyces__mesembrius__34749	1	54750	23.11	1	1	0	Lipomycetales
Lipomyces__oligophaga__34748	1	53151	17.18	1	1	0	Lipomycetales
Lipomyces__starkeyi__34743	1	36980	23.82	1	1	0	Lipomycetales
Lipomyces__suomiensis__34742	1	41905	20.63	1	1	0	Lipomycetales
Lodderomyces.elongisporus.NW_001813686	1	35601	28.77	1	1	0	Serinales
Magnusiomyces.capitatus.KJ459952	1	43486	24.16	1	1	1	Dipodascales
Magnusiomyces.ingens.KJ459950	1	37684	20.35	1	1	1	Dipodascales
Magnusiomyces.magnusii.JQ236859	1	42757	38.18	1	1	1	Dipodascales
Magnusiomyces.tetraspermus.KJ459951	1	44469	48.7	1	1	1	Dipodascales
Martiniozyma__abiesophila__34631	1	33636	20.91	1	1	1	Pichiales
Metschnikowia.aberdeeniae.MT433105	1	69221	28.69	1	1	0	Serinales
Metschnikowia.arizonensis.MT449702	1	187024	23.13	0.857142857	1	0	Serinales
Metschnikowia.borealis.MT433104	1	96203	23.63	0.857142857	1	0	Serinales
Metschnikowia.bowlesiae.MT447074	1	89822	28.43	0.857142857	1	0	Serinales
Metschnikowia.cerradonensis.MT442070	1	97238	25.58	0.857142857	1	0	Serinales
Metschnikowia.continentalis.MT442071	1	79140	25.83	0.857142857	1	0	Serinales
Metschnikowia.dekortum.MT442072	1	76385	28.85	1	1	0	Serinales
Metschnikowia.drakensbergensis.MT442054	1	113475	22.8	1	1	0	Serinales
Metschnikowia.hamakuensis.MT449697	1	44350	24.48	1	0.857142857	0	Serinales
Metschnikowia.hawaiiensis.MT442058	1	51759	24.87	1	1	0	Serinales
Metschnikowia.hibisci.MT447079	1	67292	24.05	1	0.857142857	0	Serinales
Metschnikowia.ipomoeae.MT433112	1	67552	25	1	1	0	Serinales
Metschnikowia.kamakouana.MT433119	1	52527	25.97	1	1	0	Serinales
Metschnikowia.kipukae.MT421951	1	33454	26.1	1	1	0	Serinales
Metschnikowia.lockheadii.MT433100	1	76321	25.76	1	1	0	Serinales
Metschnikowia.matae.MT433114	1	75407	25.22	0.857142857	1	0	Serinales
Metschnikowia.matae.MT433115	1	82136	25.56	0.857142857	1	0	Serinales
Metschnikowia.mauinuiana.MT449699	1	55476	23.79	1	0.857142857	0	Serinales
Metschnikowia.proteae.MT442057	1	120379	22.45	1	1	0	Serinales
Metschnikowia.reukaufii.CM010605	1	29534	32.64	0.714285714	0.857142857	0	Serinales
Metschnikowia.santaceciliae.MT433110	1	62160	25.4	1	1	0	Serinales
Metschnikowia.shivogae.MT433108	1	77238	28.8	1	1	0	Serinales
Metschnikowia.similis.MT447076	1	104926	27.92	0.857142857	1	0	Serinales
Meyerozyma.guilliermondii.KC993176	1	31070	24.58	1	1	0	Serinales
Meyerozyma__caribbica__35662	1	35746	23.17	0.857142857	1	0	Serinales
Middelhovenomyces__tepae__35665	1	44414	20.7	1	1	1	Dipodascales
Millerozyma.farinosa.FN870377	1	32065	26.93	1	1	0	Serinales
Millerozyma__acaciae__34634	1	47640	21.91	1	1	0	Serinales
Nadsonia__fulvescens__34635	1	29988	27.49	1	0	0	Dipodascales
Nakaseomyces.bacillisporus.FM995166	1	107123	10.89	1	0	1	Saccharomycetales
Nakaseomyces.delphensis.FM995164	1	37016	15.86	1	0	1	Saccharomycetales
Nakaseomyces__bracarensis	2	46979	15.02	1	0	0	Saccharomycetales
Nakazawaea__holstii__34918	1	29397	21.15	1	1	0	Alaninales
Nakazawaea__peltata__34921	1	23735	20.24	1	1	0	Alaninales
Naumovozyma.castellii.AF437291	1	25753	20.39	1	0	1	Saccharomycetales
Naumovozyma.dairenensis.KU920679	1	46425	15.8	1	0	1	Saccharomycetales
Ogataea.angusta.HQ616673	1	41719	20.63	0.857142857	1	1	Pichiales
Ogataea.philodendri.KC993191	1	27063	23.86	1	0	1	Pichiales
Ogataea.thermophila.KC993173	1	53262	19.6	1	1	1	Pichiales
Ogataea__glucozyma__34897	1	52523	19.38	1	1	1	Pichiales
Ogataea__henricii__26124	1	50793	18.98	1	1	1	Pichiales
Ogataea__kodamae__34899	1	42055	22.14	1	1	0	Pichiales
Ogataea__methanolica__34900	1	36328	17.03	1	1	1	Pichiales
Ogataea__methylivora__34901	1	30392	17.26	1	1	1	Pichiales
Ogataea__minuta__34902	1	42210	19.59	1	1	0	Pichiales
Ogataea__naganishii__34903	1	36043	18.29	1	1	0	Pichiales
Ogataea__nitratoaversa__34636	3	42323	18.57	0.857142857	1	1	Pichiales
Ogataea__nonfermentans__34904	1	43251	18.93	1	1	0	Pichiales
Ogataea__parapolymorpha__26177	1	42787	20.54	1	1	0	Pichiales
Ogataea__pilisensis__34892	1	73114	18.09	1	1	1	Pichiales
Ogataea__pini__34891	1	77878	15.59	0.857142857	1	1	Pichiales
Ogataea__polymorpha__41802	1	59496	21.49	1	1	0	Pichiales
Ogataea__populiabae__34637	1	34704	18.62	1	1	1	Pichiales
Ogataea__ramenticola__34890	1	42475	17.94	0.857142857	1	0	Pichiales
Ogataea__trehaloabstinens__34887	1	34021	17.36	1	1	1	Pichiales
Ogataea__trehalophila__34886	1	44214	18.37	1	1	1	Pichiales
Ogataea__zsoltii__34885	1	53855	18.79	0.857142857	1	1	Pichiales
Pachysolen__tannophilus	1	28450	20.33	0.857142857	0.857142857	1	Alaninales
Peterozyma__toletana__34884	1	40774	23.8	1	1	1	Alaninales
Peterozyma__xylosa__34883	1	43414	21.41	1	1	1	Alaninales
Phaffomyces__antillensis__35671	1	76116	16.41	0.857142857	0.857142857	1	Phaffomycetales
Phaffomyces__opuntiae__35670	1	45690	19.83	1	1	1	Phaffomycetales
Phaffomyces__thermotolerans__35672	1	47019	15.57	1	1	0	Phaffomycetales
Pichia.kluyveri.KC993182	1	43128	22.44	1	1	1	Pichiales
Pichia.kudriavzevii.CP028778	1	51340	16.36	1	1	1	Pichiales
Pichia__heedii__34627	4	208676	29.47	1	1	1	Pichiales
Pichia__membranifaciens__35661	1	46527	21.94	0.857142857	1	1	Pichiales
Pichia__nakasei__34624	1	41567	21.28	0.857142857	1	1	Pichiales
Pichia__norvegensis__34623	1	33423	18.85	1	1	1	Pichiales
Pichia__occidentalis__34622	1	30242	18.59	1	1	1	Pichiales
Pichia__terricola__35301	1	40139	22.94	1	1	1	Pichiales
Priceomyces__carsonii__35296	1	32669	23.25	1	1	0	Serinales
Priceomyces__castillae__35297	1	20887	25.63	1	1	0	Serinales
Priceomyces__haplophilus__35660	1	39780	24.53	1	1	0	Serinales
Priceomyces__medius__34606	1	30667	24.5	1	1	0	Serinales
Saccharomyces.arboricola.KX657740	1	71124	14.39	1	0	1	Saccharomycetales
Saccharomyces.cerevisiae.NC_001224	1	85779	17.11	1	0	1	Saccharomycetales
Saccharomyces.eubayanus.CM003593	1	63999	17.5	1	0	1	Saccharomycetales
Saccharomyces.jurei.LT986467.corrected	1	79361	13.42	1	0	1	Saccharomycetales
Saccharomyces.kudriavzevii.KX657746	1	80588	16.02	1	0	1	Saccharomycetales
Saccharomyces.mikatae.KX657747	1	85211	15.75	1	0	1	Saccharomycetales
Saccharomyces.paradoxus.JQ862335	1	71355	14.06	1	0	1	Saccharomycetales
Saccharomyces.uvarum.KX657742	1	64779	16.35	1	0	1	Saccharomycetales
Saccharomycopsis.malanga.CP025327	1	173850	17.42	1	1	0	Ascoideales
Saccharomycopsis__capsularis__34607	10	50637	24.29	1	1	0	Ascoideales
Saturnispora__dispora__35659	1	46325	21.36	1	1	1	Pichiales
Saturnispora__hagleri__34610	1	48633	21.02	0.857142857	1	1	Pichiales
Saturnispora__mendoncae__34611	1	36507	20.02	1	1	1	Pichiales
Saturnispora__saitoi__34612	4	54495	20.23	0.857142857	1	1	Pichiales
Saturnispora__serradocipensis__34613	1	47115	20.25	1	1	1	Pichiales
Saturnispora__silvae__34614	1	37785	21.36	1	1	1	Pichiales
Saturnispora__zaruensis__34615	1	44227	20.95	1	1	1	Pichiales
Scheffersomyces__lignosus__37855	1	23021	25.05	1	1	0	Serinales
Scheffersomyces__stipitis__34616	1	32531	25.18	1	1	0	Serinales
Spathaspora__passalidarum__34617	2	23542	31.98	1	0.857142857	0	Serinales
Spencermartinsiella__europaea__34605	1	39079	20.56	1	0.857142857	1	Dipodascales
Sporopachydermia__lactativora__34604	1	95189	15.68	0.857142857	1	0	Sporopachydermiales
Sporopachydermia__quercuum__34603	5	34340	21.47	0.714285714	0.857142857	0	Sporopachydermiales
Starmera__amethionina__35658	1	23340	28.14	1	0	0	Phaffomycetales
Starmerella.bacillaris.AY445918	1	23114	21.33	1	0	1	Dipodascales
Starmerella__bombicola__35657	1	29556	19.97	1	1	1	Dipodascales
Sugiyamaella.lignohabitans.CP014499	1	43869	21.31	1	1	0	Dipodascales
Tetrapisispora__blattae__34874	3	60739	8.42	0.857142857	0	0	Saccharomycetales
Tetrapisispora__fleetii__34875	3	32645	20.42	1	0	1	Saccharomycetales
Tetrapisispora__iriomotensis__34876	1	30396	15.07	1	0	1	Saccharomycetales
Tetrapisispora__namnaonensis__34877	1	42613	18.73	1	0	1	Saccharomycetales
Tetrapisispora__phaffii__34580	1	34539	18.17	1	0	1	Saccharomycetales
Tortispora__caseinolytica__34572	1	45660	24.28	1	1	0	Trigonopsidales
Tortispora__ganteri__35654	1	58577	21.79	1	1	1	Trigonopsidales
Tortispora__starmeri__35279	1	36121	27.53	1	1	0	Trigonopsidales
Torulaspora.delbrueckii.KM595073	1	28793	25.27	1	0	1	Saccharomycetales
Torulaspora.franciscae.KM595070	1	39201	24.01	1	0	1	Saccharomycetales
Torulaspora.globosa.KM595068	1	36879	26.06	1	0	1	Saccharomycetales
Torulaspora.microellipsoides.KU920678	1	34709	22.22	1	0	1	Saccharomycetales
Torulaspora.pretoriensis.KM595067	1	33343	21.47	1	0	1	Saccharomycetales
Torulaspora.quercuum.KU920676	1	33299	18.48	1	0	1	Saccharomycetales
Torulaspora__maleeae__35652	1	37563	19.87	1	0	1	Saccharomycetales
Trigonopsis__variabilis__35650	1	39698	20.57	1	1	0	Trigonopsidales
Trigonopsis__vinaria__35282	1	43865	20.93	1	1	0	Trigonopsidales
Vanderwaltozyma__polyspora__34869	1	22017	15.14	1	0	1	Saccharomycetales
Wickerhamia__fluorescens__34579	1	55780	22.73	1	1	0	Serinales
Wickerhamiella__cacticola__34646	1	49166	18.14	1	1	1	Dipodascales
Wickerhamiella__domercqiae__35638	1	45841	16.48	1	1	1	Dipodascales
Wickerhamomyces.canadensis.D31785	1	27694	18.14	1	1	1	Phaffomycetales
Wickerhamomyces.mucosus.KC993197	1	46416	17.49	1	1	1	Phaffomycetales
Wickerhamomyces.pijperi.KC993192	1	23268	22.73	1	0	1	Phaffomycetales
Wickerhamomyces__alni__35274	1	31296	19.68	1	0.714285714	1	Phaffomycetales
Wickerhamomyces__anomalus__35273	2	49123	20.47	1	1	0	Phaffomycetales
Wickerhamomyces__bovis__35271	1	46118	15.36	0.857142857	1	0	Phaffomycetales
Wickerhamomyces__ciferrii__35269	1	89600	21.86	1	1	0	Phaffomycetales
Wickerhamomyces__hampshirensis__35268	1	46392	44.68	1	1	1	Phaffomycetales
Yamadazyma__nakazawae__35252	1	27364	24.73	1	1	0	Serinales
Yamadazyma__philogaea__35640	1	38044	23.41	1	1	0	Serinales
Yamadazyma__scolyti__35641	1	30401	27.07	1	1	0	Serinales
Yarrowia.alimentaria.FR877633	1	35173	22.83	1	1	1	Dipodascales
Yarrowia.deformans.FR877635	1	40665	23.17	1	1	1	Dipodascales
Yarrowia.galli.FR877636	1	48508	22.77	1	1	1	Dipodascales
Yarrowia.lipolytica.NC_002659	1	47916	22.69	1	1	0	Dipodascales
Yarrowia.phangngaensis.FR877634	1	28017	22.78	1	1	1	Dipodascales
Yarrowia__bubula__35643	1	48843	23.36	1	1	0	Dipodascales
Yarrowia__divulgata__35645	1	57930	23.67	1	1	0	Dipodascales
Yarrowia__keelungensis__35646	2	77938	21.98	0.857142857	1	0	Dipodascales
Yueomyces__sinensis__35629	1	43154	17.49	0.857142857	0	1	Saccharomycetales
Zygoascus__meyerae__35243	1	34081	21.32	1	1	1	Dipodascales
Zygoascus__ofunaensis__35242	1	25735	22.27	1	1	1	Dipodascales
Zygosaccharomyces.mellis.KU920675	1	24335	20.31	1	0	1	Saccharomycetales
Zygosaccharomyces.parabailii.CP019506	1	29945	26.61	1	0	1	Saccharomycetales
Zygosaccharomyces__bailii__34867	1	28113	25.41	1	0	1	Saccharomycetales
Zygosaccharomyces__bisporus__34866	1	29723	25.67	1	0	1	Saccharomycetales
Zygosaccharomyces__kombuchaensis__34865	1	39601	21.4	1	0	1	Saccharomycetales
Zygosaccharomyces__rouxii__34863	1	38988	22.49	1	0	1	Saccharomycetales
Zygotorulaspora__florentina__34862	1	23630	21.91	1	0	1	Saccharomycetales
Zygotorulaspora__mrakii__26256	1	27145	18.85	1	0	1	Saccharomycetales
